beta,coherent_gain,enbw_bins,peak_sidelobe_db,main_lobe_width_bins,scalloping_loss_db
0.0,1.0,1.0,-13.2670925532188,2.015625,3.922182893250383
0.5,0.9796683777407156,1.0003417318261332,-13.628233463222161,2.015625,3.845019559181808
1.0,0.9271499783579569,1.0047849351743339,-14.694915049665516,2.07861328125,3.636741132082232
1.5,0.8600381924698149,1.0197886705889982,-16.358632987482476,2.20458984375,3.350921809087379
2.0,0.7927249603319425,1.048758682756401,-18.533894121299273,2.3935546875,3.041327915067586
2.5,0.7322577836569129,1.090405121845899,-21.097055869193028,2.58251953125,2.744071489646128
3.0,0.6804359529796464,1.140916648066546,-23.956235204809644,2.771484375,2.4764902977656265
3.5,0.6366663657946057,1.1963655459574825,-27.028395407522225,3.0234375,2.2433713844717724
4.0,0.5996486553309387,1.2538165653385416,-30.255262340667993,3.275390625,2.043128239076947
4.5,0.5680793142850683,1.3114364313033648,-33.580537335090725,3.52734375,1.871724119575851
5.0,0.5408651728383872,1.3682198401392107,-36.98917809839912,3.779296875,1.7246566161257892
5.5,0.5171458696253832,1.4236831217209407,-40.43216507088321,4.09423828125,1.5977881968919467
6.0,0.4962583646312737,1.477638281046188,-43.91911442014171,4.34619140625,1.487604061576754
6.5,0.47769273255867745,1.530052266777739,-47.43972613512416,4.6611328125,1.3912227197434661
7.0,0.46105412011847313,1.5809671598096966,-51.008617516132176,4.9130859375,1.3063174269677658
7.5,0.4460334685603999,1.6304576123655043,-54.65949218686225,5.22802734375,1.2310176666740833
8.0,0.43238590485810535,1.6786092357553657,-58.43182083471426,5.54296875,1.1638174387356637
8.5,0.4199150050854066,1.725508173115184,-62.21184261367141,5.794921875,1.1034984360018445
8.6,0.4175474464557901,1.7347449537420028,-62.991016472979105,5.85791015625,1.0921696844370425
9.0,0.4084613332750063,1.7712364279254313,-66.14981755416139,6.10986328125,1.0490686679281467
9.5,0.3978940372102047,1.8158700614484315,-70.08123517597784,6.4248046875,0.9997144982867028
10.0,0.38810462337412793,1.859478769051241,-74.1351629021007,6.73974609375,0.9547635091221024
10.5,0.379002292655264,1.9021260836619451,-78.1619365100702,7.0546875,0.9136558047287942
11.0,0.37051040361700766,1.9438698353158022,-82.17014548207594,7.36962890625,0.875921788289435
11.5,0.36256375904094573,1.9847626887038368,-86.19205899715976,7.6845703125,0.8411648699314016
12.0,0.35510650044853487,2.0248526770159043,-90.20888012701658,7.9365234375,0.8090479288060631
12.5,0.34809045681032424,2.0641836977335437,-94.09898404439915,8.25146484375,0.7792826404185595
13.0,0.3414738364080399,2.102795958763504,-97.96667226601772,8.56640625,0.7516210012637282
13.5,0.33522018079165283,2.140726373788304,-101.86164390586947,8.88134765625,0.7258485487176959
14.0,0.329297520999108,2.178008910183797,-105.80623858035416,9.1962890625,0.7017788977003993
