name,length,hop,overlap_fraction,mean_sum,min_sum,max_sum,max_deviation_pct,ripple_db
rectangular,128,64,0.5,2.0,2.0,2.0,0.0,0.0
hann,128,64,0.5,0.9921875,0.987635624285379,0.9998470286265415,0.7719839875569398,0.10673627264773486
hamming,128,64,0.5,1.0728125000000002,1.0686247743425485,1.0798592663364184,0.6568497604584406,0.09083841922866562
blackman,128,64,0.5,0.8334374999999999,0.6678802886351503,0.9997491419236825,19.954902668008405,3.5038482774531405
kaiser-8.6,128,64,0.5,0.8350440540167886,0.6686561359611098,1.001081957220605,19.925645509995277,3.5053359949122442
blackman-harris,128,64,0.5,0.71189546875,0.42416147389732006,0.9997055957150761,40.4287061231665,7.446818070385613
nuttall,128,64,0.5,0.7214885015625,0.44307314492687366,1.00001671060329,38.60466361384722,7.0706365884618485
flattop,128,64,0.5,0.427782899984375,-0.11282941173131165,0.998848210454303,133.49418840509674,inf
rectangular,128,32,0.75,4.0,4.0,4.0,0.0,0.0
hann,128,32,0.75,1.984375,1.9826226026151188,1.9874826529119205,0.1566061309944189,0.02126587527700699
hamming,128,32,0.75,2.1456250000000003,2.1440127944059095,2.148484040678967,0.13324978404738974,0.0180951866527483
blackman,128,32,0.75,1.6668749999999999,1.666574361611911,1.6676294305588328,0.045260176007976154,0.0054970921459028405
kaiser-8.6,128,32,0.75,1.6700881080335774,1.6693240524547583,1.6707456679535195,0.04574941735970543,0.007393855284033294
blackman-harris,128,32,0.75,1.4237909375,1.4237637633602875,1.4238670696123963,0.005347141240412693,0.0006302128033889789
nuttall,128,32,0.75,1.442977003125,1.442940021374541,1.4430898555301637,0.007820804137507173,0.0009018915232550494
flattop,128,32,0.75,0.85556579996875,0.8250143643726553,0.8860187987229916,3.5709042597554337,0.6196285259854606
rectangular,128,16,0.875,8.0,8.0,8.0,0.0,0.0
hann,128,16,0.875,3.96875,3.9679320353309886,3.9701052555270397,0.034148170760056565,0.004755924055801247
hamming,128,16,0.875,4.29125,4.2904974725045095,4.292496835084877,0.029055288898966154,0.004046663066828314
blackman,128,16,0.875,3.3337499999999998,3.333485998429613,3.334203792170744,0.013612063614379348,0.0018701161686416948
kaiser-8.6,128,16,0.875,3.3401762160671544,3.339062145636473,3.340742160866146,0.03335364240133761,0.004369118169731066
blackman-harris,128,16,0.875,2.8475818750000004,2.84756014583166,2.8476308329726843,0.001719282353695063,0.0002156137373023654
nuttall,128,16,0.875,2.88595400625,2.885916312795332,2.886029876904705,0.0026289627118358666,0.000341792971926689
flattop,128,16,0.875,1.7111315999375,1.7110331630956466,1.7111788531741368,0.005752733562813423,0.0007395497052047241
