window,estimator,fft_size,length,bin_step_bins,worst_underread_db,worst_overread_db,worst_abs_bias_db,rms_bias_db,mean_abs_bias_db,p95_abs_bias_db,enbw_bins,scalloping_loss_db,main_lobe_width_bins
blackman,sampled,256,129,0.50390625,0.2730946764694073,1.928654933106574e-15,0.2730946764694073,0.12210160389790478,0.0909793487462401,0.24642086594113943,1.740247661564626,1.0817746311954988,6.046875
blackman,parabolic-linear,256,129,0.50390625,0.03117855650733494,1.928654933106574e-15,0.03117855650733494,0.015379639857143813,0.011844852995120682,0.02911772482047669,1.740247661564626,1.0817746311954988,6.046875
blackman,parabolic-log,256,129,0.50390625,0.0,0.004975548811817838,0.004975548811817838,0.002433315265265787,0.001870457253981471,0.004630314514484619,1.740247661564626,1.0817746311954988,6.046875
blackman,sampled,512,129,0.251953125,0.06817360801137543,1.928654933106574e-15,0.06817360801137543,0.030493446769255535,0.022724840574870137,0.06152375525093317,1.740247661564626,1.0817746311954988,6.046875
blackman,parabolic-linear,512,129,0.251953125,0.0020651564017231307,1.928654933106574e-15,0.0020651564017231307,0.0010151950573754228,0.00078146946572414,0.0019255063270203028,1.740247661564626,1.0817746311954988,6.046875
blackman,parabolic-log,512,129,0.251953125,0.0,0.00030167355844638465,0.00030167355844638465,0.00014796705547018234,0.00011384272013146502,0.00028102040236738376,1.740247661564626,1.0817746311954988,6.046875
blackman,sampled,1024,129,0.1259765625,0.01703717122291378,1.928654933106574e-15,0.01703717122291378,0.0076213703953012185,0.005679963645594374,0.01537586441102594,1.740247661564626,1.0817746311954988,6.046875
blackman,parabolic-linear,1024,129,0.1259765625,0.0001310155207236979,1.928654933106574e-15,0.0001310155207236979,6.434259396492228e-05,4.9520878045377475e-05,0.00012210251724237018,1.740247661564626,1.0817746311954988,6.046875
blackman,parabolic-log,1024,129,0.1259765625,0.0,1.8715330262260386e-05,1.8715330262260386e-05,9.186046939547555e-06,7.069063856059966e-06,1.7438170219431637e-05,1.740247661564626,1.0817746311954988,6.046875
blackman,sampled,2048,129,0.06298828125,0.004258903740264821,1.928654933106574e-15,0.004258903740264821,0.001905218233661835,0.0014199130564837808,0.003843649215979715,1.740247661564626,1.0817746311954988,6.046875
blackman,parabolic-linear,2048,129,0.06298828125,8.219349508361497e-06,1.928654933106574e-15,8.219349508361497e-06,4.035570471472728e-06,3.1058133164071154e-06,7.65933256968096e-06,1.740247661564626,1.0817746311954988,6.046875
