window,fft_size,length,bin_step_bins,sampled_worst_abs_bias_db,linear_worst_abs_bias_db,log_worst_abs_bias_db,power_opt_p,power_worst_abs_bias_db,enbw_bins,scalloping_loss_db,main_lobe_width_bins
blackman,256,129,0.50390625,0.2730946764694073,0.03117855650733494,0.004975548811817838,0.126,9.532680388655989e-06,1.740247661564626,1.0817746311954988,6.046875
blackman,512,129,0.251953125,0.06817360801137543,0.0020651564017231307,0.00030167355844638465,0.1245,2.2297000030550204e-07,1.740247661564626,1.0817746311954988,6.046875
blackman,1024,129,0.1259765625,0.01703717122291378,0.0001310155207236979,1.8715330262260386e-05,0.1245,3.298971212501434e-08,1.740247661564626,1.0817746311954988,6.046875
blackman,2048,129,0.06298828125,0.004258903740264821,8.219349508361497e-06,1.1675544855168155e-06,0.124,1.9114050431745587e-09,1.740247661564626,1.0817746311954988,6.046875
blackman-harris,256,129,0.50390625,0.2057811394575968,0.01881187572306276,0.0018631733623904415,0.084,1.668959332531508e-06,2.0200066670005885,0.8127833430614497,8.0782470703125
blackman-harris,512,129,0.251953125,0.05140715027662251,0.001233832911718425,0.00011469088106850898,0.0835,4.70015751750896e-08,2.0200066670005885,0.8127833430614497,8.0782470703125
blackman-harris,1024,129,0.1259765625,0.012849408619127792,7.807219013289383e-05,7.141306914261473e-06,0.0835,6.201433718568416e-09,2.0200066670005885,0.8127833430614497,8.0782470703125
blackman-harris,2048,129,0.06298828125,0.0032122035399456675,4.8946816495606085e-06,4.4591402940725043e-07,0.0835,5.296298598514768e-10,2.0200066670005885,0.8127833430614497,8.0782470703125
flattop,256,129,0.50390625,0.002309529701686721,0.013363062883432253,0.013426822611658108,1.0,0.013363062883432253,3.7998174877405715,0.009125678278112163,10.2198486328125
flattop,512,129,0.251953125,0.0008853456175612869,0.00091066217870678,0.0009106625107670566,1.0,0.00091066217870678,3.7998174877405715,0.009125678278112163,10.2198486328125
flattop,1024,129,0.1259765625,0.00024079724156242662,5.815076710460441e-05,5.8168048111252696e-05,1.0,5.815076710460441e-05,3.7998174877405715,0.009125678278112163,10.2198486328125
flattop,2048,129,0.06298828125,6.141898998379365e-05,3.6539275496779293e-06,3.655656221653643e-06,1.0,3.6539275496779293e-06,3.7998174877405715,0.009125678278112163,10.2198486328125
