name,length,hop,overlap_fraction,min_squared_overlap_fraction,max_synthesis_gain,mean_relative_noise_gain,rms_relative_noise_gain,worst_relative_noise_gain,simulated_relative_noise_gain,exact_reconstruction_rmse,exact_reconstruction_max_abs_error
hann,128,64,0.5,0.6558140974118927,1.5248223604012232,1.0238060577903003,1.0320629600666518,1.2348369772570076,1.0346986148020476,4.9175258238257687e-17,2.220446049250313e-16
hamming,128,64,0.5,0.7242869469794004,1.3806682616198538,1.0149056621455503,1.0199991040763743,1.1750184090557279,1.0215782354723744,5.0632836653192667e-17,2.220446049250313e-16
blackman,128,64,0.5,0.36948718956038057,2.706453777706907,1.1001938635506836,1.138930076067985,1.6451303224081997,1.144001766772694,5.270910989580695e-17,2.220446049250313e-16
blackman-harris,128,64,0.5,0.17620799283828187,5.67511146283681,1.2508113194905495,1.3633619754518143,2.3822492444823675,1.3718808860024612,4.9883897998558666e-17,3.3306690738754696e-16
nuttall,128,64,0.5,0.18983619502545895,5.267699343983848,1.2336087971770564,1.3368048076173167,2.2951469111984637,1.3449422870640668,5.0622193816438694e-17,2.220446049250313e-16
flattop,128,64,0.5,0.01430749787329522,69.89342293501147,2.932628334323377,4.074516891606718,8.36022864131188,4.041555428788466,5.019136812306879e-17,2.220446049250313e-16
hann,128,32,0.75,0.9996175070976813,1.0003826392591195,1.0000000247400278,1.0000000329868477,1.00019130133146,1.0030636447055572,5.9701090376335e-17,2.220446049250313e-16
hamming,128,32,0.75,0.9999120050023416,1.0000880027414594,1.000000001902583,1.0000000025367681,1.000044000402712,1.0036136314885347,5.655266203382141e-17,3.3306690738754696e-16
blackman,128,32,0.75,0.9884565336881254,1.011678274075243,1.0000252228392372,1.000033630820334,1.0058221881004827,1.0025401895703736,5.46300824154773e-17,2.220446049250313e-16
blackman-harris,128,32,0.75,0.935827215952585,1.0685733252394174,1.0007814190060247,1.0010422313915703,1.0337182039798938,1.0033417803766436,5.861732101756465e-17,2.220446049250313e-16
nuttall,128,32,0.75,0.9411857666235435,1.0624895057512924,1.0006561280312347,1.0008750766369088,1.0307713159335063,1.003186762801065,6.329737165514256e-17,2.220446049250313e-16
flattop,128,32,0.75,0.5552313907025891,1.8010509073246044,1.0422313338146136,1.0573176074628712,1.3420323793875484,1.0613090428032346,6.405035481424158e-17,3.3306690738754696e-16
hann,128,16,0.875,0.9999820998325508,1.0000179004878709,1.000000000055066,1.0000000000734213,1.0000089502038823,0.9951614791273437,6.541120826258104e-17,2.220446049250313e-16
hamming,128,16,0.875,0.9999746055377547,1.0000253951071403,1.000000000231474,1.0000000003086307,1.0000126974729573,0.9952110590981771,7.007012554810344e-17,3.3306690738754696e-16
blackman,128,16,0.875,0.9999981323972383,1.0000018676062497,1.0000000000005707,1.0000000000007607,1.0000009338026887,0.995627926029392,7.008884889586532e-17,3.3306690738754696e-16
blackman-harris,128,16,0.875,0.9999999222966834,1.0000000777033227,1.000000000000001,1.0000000000000013,1.0000000388516606,0.996025604303327,7.964813651851522e-17,3.3306690738754696e-16
nuttall,128,16,0.875,0.9999999374835588,1.0000000625164451,1.0000000000000009,1.000000000000001,1.000000031258222,0.995989543212242,6.651319698233961e-17,3.3306690738754696e-16
flattop,128,16,0.875,0.9998289618645428,1.0001710673945052,1.0000000057020186,1.0000000076026916,1.0000855300395588,0.9967535135516359,7.007798884300886e-17,3.3306690738754696e-16
hann,128,8,0.9375,0.9999990461657395,1.0000009538351704,1.000000000000183,1.0000000000002438,1.0000004769174715,0.9920540222562719,9.434820511714175e-17,4.440892098500626e-16
hamming,128,8,0.9375,0.9999917363474656,1.000008263720823,1.0000000000220044,1.0000000000293392,1.0000041318518753,0.9936700184795925,7.119837022423795e-17,3.3306690738754696e-16
blackman,128,8,0.9375,0.9999998630941591,1.0000001369058595,1.0000000000000038,1.0000000000000049,1.0000000684529273,0.9900585097256668,7.309951253626669e-17,2.220446049250313e-16
blackman-harris,128,8,0.9375,0.9999999982281766,1.0000000017718234,0.9999999999999999,0.9999999999999999,1.0000000008859116,0.9890368549547816,7.61288675405545e-17,3.3306690738754696e-16
nuttall,128,8,0.9375,0.9999999991420906,1.0000000008579093,0.9999999999999999,0.9999999999999999,1.0000000004289546,0.9891053302486638,9.496726101388761e-17,4.440892098500626e-16
flattop,128,8,0.9375,0.9999999973237045,1.0000000026762956,1.0,1.0,1.0000000013381478,0.9888305642902389,8.357103206737406e-17,4.440892098500626e-16
